x0,x1,x2,x3,x4,x5,x6,x7,label
0.82,612.5,318.5,147.0,7.0,4,0.1,1,24.61
0.82,612.5,318.5,147.0,7.0,5,0.1,1,28.51
0.79,637.0,343.0,147.0,7.0,2,0.1,1,41.68
0.79,637.0,343.0,147.0,7.0,3,0.1,1,35.28
0.79,637.0,343.0,147.0,7.0,4,0.1,1,34.43
0.79,637.0,343.0,147.0,7.0,5,0.1,1,43.33
0.76,661.5,416.5,122.5,7.0,2,0.1,1,33.87
0.76,661.5,416.5,122.5,7.0,3,0.1,1,34.07
0.76,661.5,416.5,122.5,7.0,4,0.1,1,34.14
0.76,661.5,416.5,122.5,7.0,5,0.1,1,33.67
0.74,686.0,245.0,220.5,3.5,2,0.1,1,13.43
0.74,686.0,245.0,220.5,3.5,3,0.1,1,13.71
0.74,686.0,245.0,220.5,3.5,4,0.1,1,13.48
0.74,686.0,245.0,220.5,3.5,5,0.1,1,13.7
0.71,710.5,269.5,220.5,3.5,2,0.1,1,13.8
0.71,710.5,269.5,220.5,3.5,3,0.1,1,14.28
0.71,710.5,269.5,220.5,3.5,4,0.1,1,13.87
0.71,710.5,269.5,220.5,3.5,5,0.1,1,14.27
0.69,735.0,294.0,220.5,3.5,2,0.1,1,14.28
0.69,735.0,294.0,220.5,3.5,3,0.1,1,14.61
0.69,735.0,294.0,220.5,3.5,4,0.1,1,14.3
0.69,735.0,294.0,220.5,3.5,5,0.1,1,14.45
0.66,759.5,318.5,220.5,3.5,2,0.1,1,13.9
0.66,759.5,318.5,220.5,3.5,3,0.1,1,13.72
0.66,759.5,318.5,220.5,3.5,4,0.1,1,13.88
0.66,759.5,318.5,220.5,3.5,5,0.1,1,13.65
0.64,784.0,343.0,220.5,3.5,2,0.1,1,19.37
0.64,784.0,343.0,220.5,3.5,3,0.1,1,19.43
0.64,784.0,343.0,220.5,3.5,4,0.1,1,19.34
0.64,784.0,343.0,220.5,3.5,5,0.1,1,19.32
0.62,808.5,367.5,220.5,3.5,2,0.1,1,14.34
0.62,808.5,367.5,220.5,3.5,3,0.1,1,14.5
0.62,808.5,367.5,220.5,3.5,4,0.1,1,14.33
0.62,808.5,367.5,220.5,3.5,5,0.1,1,14.27
0.98,514.5,294.0,110.25,7.0,2,0.1,2,25.95
0.98,514.5,294.0,110.25,7.0,3,0.1,2,25.63
0.98,514.5,294.0,110.25,7.0,4,0.1,2,26.13
0.98,514.5,294.0,110.25,7.0,5,0.1,2,25.89
0.9,563.5,318.5,122.5,7.0,2,0.1,2,32.54
0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.44
0.9,563.5,318.5,122.5,7.0,4,0.1,2,29.36
0.9,563.5,318.5,122.5,7.0,5,0.1,2,34.2
0.86,588.0,294.0,147.0,7.0,2,0.1,2,30.91
0.86,588.0,294.0,147.0,7.0,3,0.1,2,25.63
0.86,588.0,294.0,147.0,7.0,4,0.1,2,27.36
0.86,588.0,294.0,147.0,7.0,5,0.1,2,31.9
0.82,612.5,318.5,147.0,7.0,2,0.1,2,27.38
0.82,612.5,318.5,147.0,7.0,3,0.1,2,25.02
0.82,612.5,318.5,147.0,7.0,4,0.1,2,24.8
0.82,612.5,318.5,147.0,7.0,5,0.1,2,28.79
0.79,637.0,343.0,147.0,7.0,2,0.1,2,41.07
0.79,637.0,343.0,147.0,7.0,3,0.1,2,34.62
0.79,637.0,343.0,147.0,7.0,4,0.1,2,33.87
0.79,637.0,343.0,147.0,7.0,5,0.1,2,42.86
0.76,661.5,416.5,122.5,7.0,2,0.1,2,33.91
0.76,661.5,416.5,122.5,7.0,3,0.1,2,34.07
0.76,661.5,416.5,122.5,7.0,4,0.1,2,34.17
0.76,661.5,416.5,122.5,7.0,5,0.1,2,33.78
0.74,686.0,245.0,220.5,3.5,2,0.1,2,13.39
0.74,686.0,245.0,220.5,3.5,3,0.1,2,13.72
0.74,686.0,245.0,220.5,3.5,4,0.1,2,13.57
0.74,686.0,245.0,220.5,3.5,5,0.1,2,13.79
0.71,710.5,269.5,220.5,3.5,2,0.1,2,13.67
0.71,710.5,269.5,220.5,3.5,3,0.1,2,14.11
0.71,710.5,269.5,220.5,3.5,4,0.1,2,13.8
0.71,710.5,269.5,220.5,3.5,5,0.1,2,14.21
0.69,735.0,294.0,220.5,3.5,2,0.1,2,13.2
0.69,735.0,294.0,220.5,3.5,3,0.1,2,13.54
0.69,735.0,294.0,220.5,3.5,4,0.1,2,13.32
0.69,735.0,294.0,220.5,3.5,5,0.1,2,13.51
0.66,759.5,318.5,220.5,3.5,2,0.1,2,14.86
0.66,759.5,318.5,220.5,3.5,3,0.1,2,14.75
0.66,759.5,318.5,220.5,3.5,4,0.1,2,15.0
0.66,759.5,318.5,220.5,3.5,5,0.1,2,14.74
0.64,784.0,343.0,220.5,3.5,2,0.1,2,19.23
0.64,784.0,343.0,220.5,3.5,3,0.1,2,19.34
0.64,784.0,343.0,220.5,3.5,4,0.1,2,19.32
0.64,784.0,343.0,220.5,3.5,5,0.1,2,19.3
0.62,808.5,367.5,220.5,3.5,2,0.1,2,14.37
0.62,808.5,367.5,220.5,3.5,3,0.1,2,14.57
0.62,808.5,367.5,220.5,3.5,4,0.1,2,14.27
0.62,808.5,367.5,220.5,3.5,5,0.1,2,14.24
0.98,514.5,294.0,110.25,7.0,2,0.1,3,25.68
0.98,514.5,294.0,110.25,7.0,3,0.1,3,26.02
0.98,514.5,294.0,110.25,7.0,4,0.1,3,25.84
0.98,514.5,294.0,110.25,7.0,5,0.1,3,26.14
0.9,563.5,318.5,122.5,7.0,2,0.1,3,34.14
0.9,563.5,318.5,122.5,7.0,3,0.1,3,32.85
0.9,563.5,318.5,122.5,7.0,4,0.1,3,30.08
0.9,563.5,318.5,122.5,7.0,5,0.1,3,29.67
0.86,588.0,294.0,147.0,7.0,2,0.1,3,31.73
0.86,588.0,294.0,147.0,7.0,3,0.1,3,31.01
0.86,588.0,294.0,147.0,7.0,4,0.1,3,25.9
0.86,588.0,294.0,147.0,7.0,5,0.1,3,27.4
0.82,612.5,318.5,147.0,7.0,2,0.1,3,28.68
0.82,612.5,318.5,147.0,7.0,3,0.1,3,27.54
0.82,612.5,318.5,147.0,7.0,4,0.1,3,25.35
0.82,612.5,318.5,147.0,7.0,5,0.1,3,24.93
0.79,637.0,343.0,147.0,7.0,2,0.1,3,43.12
0.79,637.0,343.0,147.0,7.0,3,0.1,3,41.22
0.79,637.0,343.0,147.0,7.0,4,0.1,3,35.1
0.79,637.0,343.0,147.0,7.0,5,0.1,3,34.29
0.76,661.5,416.5,122.5,7.0,2,0.1,3,33.85
0.76,661.5,416.5,122.5,7.0,3,0.1,3,34.11
0.76,661.5,416.5,122.5,7.0,4,0.1,3,34.48
0.76,661.5,416.5,122.5,7.0,5,0.1,3,34.5
0.74,686.0,245.0,220.5,3.5,2,0.1,3,13.6
0.74,686.0,245.0,220.5,3.5,3,0.1,3,13.36
0.74,686.0,245.0,220.5,3.5,4,0.1,3,13.65
0.74,686.0,245.0,220.5,3.5,5,0.1,3,13.49
0.71,710.5,269.5,220.5,3.5,2,0.1,3,14.14
0.71,710.5,269.5,220.5,3.5,3,0.1,3,13.77
0.71,710.5,269.5,220.5,3.5,4,0.1,3,14.3
0.71,710.5,269.5,220.5,3.5,5,0.1,3,13.87
0.69,735.0,294.0,220.5,3.5,2,0.1,3,14.44
0.69,735.0,294.0,220.5,3.5,3,0.1,3,14.27
0.69,735.0,294.0,220.5,3.5,4,0.1,3,14.67
0.69,735.0,294.0,220.5,3.5,5,0.1,3,14.4
0.66,759.5,318.5,220.5,3.5,2,0.1,3,13.46
0.66,759.5,318.5,220.5,3.5,3,0.1,3,13.7
0.66,759.5,318.5,220.5,3.5,4,0.1,3,13.59
0.66,759.5,318.5,220.5,3.5,5,0.1,3,13.83
0.64,784.0,343.0,220.5,3.5,2,0.1,3,19.14
0.64,784.0,343.0,220.5,3.5,3,0.1,3,19.18
0.64,784.0,343.0,220.5,3.5,4,0.1,3,19.37
0.64,784.0,343.0,220.5,3.5,5,0.1,3,19.29
0.62,808.5,367.5,220.5,3.5,2,0.1,3,14.09
0.62,808.5,367.5,220.5,3.5,3,0.1,3,14.23
0.62,808.5,367.5,220.5,3.5,4,0.1,3,14.14
0.62,808.5,367.5,220.5,3.5,5,0.1,3,13.89
0.98,514.5,294.0,110.25,7.0,2,0.1,4,25.91
0.98,514.5,294.0,110.25,7.0,3,0.1,4,25.72
0.98,514.5,294.0,110.25,7.0,4,0.1,4,26.18
0.98,514.5,294.0,110.25,7.0,5,0.1,4,25.87
0.9,563.5,318.5,122.5,7.0,2,0.1,4,29.34
0.9,563.5,318.5,122.5,7.0,3,0.1,4,33.91
0.9,563.5,318.5,122.5,7.0,4,0.1,4,32.83
0.9,563.5,318.5,122.5,7.0,5,0.1,4,29.92
0.86,588.0,294.0,147.0,7.0,2,0.1,4,27.17
0.86,588.0,294.0,147.0,7.0,3,0.1,4,31.76
0.86,588.0,294.0,147.0,7.0,4,0.1,4,31.06
0.86,588.0,294.0,147.0,7.0,5,0.1,4,25.81
0.82,612.5,318.5,147.0,7.0,2,0.1,4,24.61
0.82,612.5,318.5,147.0,7.0,3,0.1,4,28.61
0.82,612.5,318.5,147.0,7.0,4,0.1,4,27.57
0.82,612.5,318.5,147.0,7.0,5,0.1,4,25.16
0.79,637.0,343.0,147.0,7.0,2,0.1,4,34.25
0.79,637.0,343.0,147.0,7.0,3,0.1,4,43.3
0.79,637.0,343.0,147.0,7.0,4,0.1,4,41.86
0.79,637.0,343.0,147.0,7.0,5,0.1,4,35.29
0.76,661.5,416.5,122.5,7.0,2,0.1,4,34.11
0.76,661.5,416.5,122.5,7.0,3,0.1,4,33.62
0.76,661.5,416.5,122.5,7.0,4,0.1,4,33.89
0.76,661.5,416.5,122.5,7.0,5,0.1,4,34.05
0.74,686.0,245.0,220.5,3.5,2,0.1,4,13.2
0.74,686.0,245.0,220.5,3.5,3,0.1,4,13.36
0.74,686.0,245.0,220.5,3.5,4,0.1,4,13.21
0.74,686.0,245.0,220.5,3.5,5,0.1,4,13.53
0.71,710.5,269.5,220.5,3.5,2,0.1,4,13.67
0.71,710.5,269.5,220.5,3.5,3,0.1,4,14.12
0.71,710.5,269.5,220.5,3.5,4,0.1,4,13.79
0.71,710.5,269.5,220.5,3.5,5,0.1,4,14.2
0.69,735.0,294.0,220.5,3.5,2,0.1,4,14.29
0.69,735.0,294.0,220.5,3.5,3,0.1,4,14.49
0.69,735.0,294.0,220.5,3.5,4,0.1,4,14.42
0.69,735.0,294.0,220.5,3.5,5,0.1,4,14.73
0.66,759.5,318.5,220.5,3.5,2,0.1,4,14.86
0.66,759.5,318.5,220.5,3.5,3,0.1,4,14.67
0.66,759.5,318.5,220.5,3.5,4,0.1,4,15.0
0.66,759.5,318.5,220.5,3.5,5,0.1,4,14.83
0.64,784.0,343.0,220.5,3.5,2,0.1,4,19.24
0.64,784.0,343.0,220.5,3.5,3,0.1,4,19.25
0.64,784.0,343.0,220.5,3.5,4,0.1,4,19.42
0.64,784.0,343.0,220.5,3.5,5,0.1,4,19.48
0.62,808.5,367.5,220.5,3.5,2,0.1,4,14.37
0.62,808.5,367.5,220.5,3.5,3,0.1,4,14.34
0.62,808.5,367.5,220.5,3.5,4,0.1,4,14.28
0.62,808.5,367.5,220.5,3.5,5,0.1,4,14.47
0.98,514.5,294.0,110.25,7.0,2,0.1,5,25.64
0.98,514.5,294.0,110.25,7.0,3,0.1,5,25.98
0.98,514.5,294.0,110.25,7.0,4,0.1,5,25.88
0.98,514.5,294.0,110.25,7.0,5,0.1,5,26.18
0.9,563.5,318.5,122.5,7.0,2,0.1,5,29.82
0.9,563.5,318.5,122.5,7.0,3,0.1,5,29.52
0.9,563.5,318.5,122.5,7.0,4,0.1,5,34.45
0.9,563.5,318.5,122.5,7.0,5,0.1,5,33.01
0.86,588.0,294.0,147.0,7.0,2,0.1,5,25.82
0.86,588.0,294.0,147.0,7.0,3,0.1,5,27.33
0.86,588.0,294.0,147.0,7.0,4,0.1,5,32.04
0.86,588.0,294.0,147.0,7.0,5,0.1,5,31.28
0.82,612.5,318.5,147.0,7.0,2,0.1,5,25.11
0.82,612.5,318.5,147.0,7.0,3,0.1,5,24.77
0.82,612.5,318.5,147.0,7.0,4,0.1,5,28.88
0.82,612.5,318.5,147.0,7.0,5,0.1,5,27.69
0.79,637.0,343.0,147.0,7.0,2,0.1,5,34.99
0.79,637.0,343.0,147.0,7.0,3,0.1,5,34.18
0.79,637.0,343.0,147.0,7.0,4,0.1,5,43.14
0.79,637.0,343.0,147.0,7.0,5,0.1,5,41.26
0.76,661.5,416.5,122.5,7.0,2,0.1,5,34.25
0.76,661.5,416.5,122.5,7.0,3,0.1,5,34.35
0.76,661.5,416.5,122.5,7.0,4,0.1,5,33.64
0.76,661.5,416.5,122.5,7.0,5,0.1,5,33.88
0.74,686.0,245.0,220.5,3.5,2,0.1,5,13.65
0.74,686.0,245.0,220.5,3.5,3,0.1,5,13.44
0.74,686.0,245.0,220.5,3.5,4,0.1,5,13.72
0.74,686.0,245.0,220.5,3.5,5,0.1,5,13.5
0.71,710.5,269.5,220.5,3.5,2,0.1,5,14.18
0.71,710.5,269.5,220.5,3.5,3,0.1,5,13.75
0.71,710.5,269.5,220.5,3.5,4,0.1,5,14.26
0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.89
0.69,735.0,294.0,220.5,3.5,2,0.1,5,14.55
0.69,735.0,294.0,220.5,3.5,3,0.1,5,14.28
0.69,735.0,294.0,220.5,3.5,4,0.1,5,14.46
0.69,735.0,294.0,220.5,3.5,5,0.1,5,14.39
0.66,759.5,318.5,220.5,3.5,2,0.1,5,14.54
0.66,759.5,318.5,220.5,3.5,3,0.1,5,14.81
0.66,759.5,318.5,220.5,3.5,4,0.1,5,14.65
0.66,759.5,318.5,220.5,3.5,5,0.1,5,14.87
0.64,784.0,343.0,220.5,3.5,2,0.1,5,19.24
0.64,784.0,343.0,220.5,3.5,3,0.1,5,19.18
0.64,784.0,343.0,220.5,3.5,4,0.1,5,19.26
0.64,784.0,343.0,220.5,3.5,5,0.1,5,19.29
0.62,808.5,367.5,220.5,3.5,2,0.1,5,14.24
0.62,808.5,367.5,220.5,3.5,3,0.1,5,13.97
0.62,808.5,367.5,220.5,3.5,4,0.1,5,13.99
0.62,808.5,367.5,220.5,3.5,5,0.1,5,14.15
0.98,514.5,294.0,110.25,7.0,2,0.25,1,29.79
0.98,514.5,294.0,110.25,7.0,3,0.25,1,29.79
0.98,514.5,294.0,110.25,7.0,4,0.25,1,29.28
0.98,514.5,294.0,110.25,7.0,5,0.25,1,29.49
0.9,563.5,318.5,122.5,7.0,2,0.25,1,36.12
0.9,563.5,318.5,122.5,7.0,3,0.25,1,33.17
0.9,563.5,318.5,122.5,7.0,4,0.25,1,32.71
0.9,563.5,318.5,122.5,7.0,5,0.25,1,37.58
0.86,588.0,294.0,147.0,7.0,2,0.25,1,33.98
0.86,588.0,294.0,147.0,7.0,3,0.25,1,28.61
0.86,588.0,294.0,147.0,7.0,4,0.25,1,30.12
0.86,588.0,294.0,147.0,7.0,5,0.25,1,34.73
0.82,612.5,318.5,147.0,7.0,2,0.25,1,30.17
0.82,612.5,318.5,147.0,7.0,3,0.25,1,27.84
0.82,612.5,318.5,147.0,7.0,4,0.25,1,27.25
0.82,612.5,318.5,147.0,7.0,5,0.25,1,31.39
0.79,637.0,343.0,147.0,7.0,2,0.25,1,43.8
0.79,637.0,343.0,147.0,7.0,3,0.25,1,37.81
0.79,637.0,343.0,147.0,7.0,4,0.25,1,36.85
0.79,637.0,343.0,147.0,7.0,5,0.25,1,45.52
0.76,661.5,416.5,122.5,7.0,2,0.25,1,36.85
0.76,661.5,416.5,122.5,7.0,3,0.25,1,37.58
0.76,661.5,416.5,122.5,7.0,4,0.25,1,37.45
0.76,661.5,416.5,122.5,7.0,5,0.25,1,36.62
0.74,686.0,245.0,220.5,3.5,2,0.25,1,15.19
0.74,686.0,245.0,220.5,3.5,3,0.25,1,15.5
0.74,686.0,245.0,220.5,3.5,4,0.25,1,15.28
0.74,686.0,245.0,220.5,3.5,5,0.25,1,15.5
0.71,710.5,269.5,220.5,3.5,2,0.25,1,15.42
0.71,710.5,269.5,220.5,3.5,3,0.25,1,15.85
0.71,710.5,269.5,220.5,3.5,4,0.25,1,15.44
0.71,710.5,269.5,220.5,3.5,5,0.25,1,15.81
0.69,735.0,294.0,220.5,3.5,2,0.25,1,15.21
0.69,735.0,294.0,220.5,3.5,3,0.25,1,15.63
0.69,735.0,294.0,220.5,3.5,4,0.25,1,15.48
0.69,735.0,294.0,220.5,3.5,5,0.25,1,15.78
0.66,759.5,318.5,220.5,3.5,2,0.25,1,16.39
0.66,759.5,318.5,220.5,3.5,3,0.25,1,16.27
0.66,759.5,318.5,220.5,3.5,4,0.25,1,16.39
0.66,759.5,318.5,220.5,3.5,5,0.25,1,16.19
0.64,784.0,343.0,220.5,3.5,2,0.25,1,21.13
0.64,784.0,343.0,220.5,3.5,3,0.25,1,21.19
0.64,784.0,343.0,220.5,3.5,4,0.25,1,21.09
0.64,784.0,343.0,220.5,3.5,5,0.25,1,21.08
0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.77
0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.95
0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.77
0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.76
0.98,514.5,294.0,110.25,7.0,2,0.25,2,29.62
0.98,514.5,294.0,110.25,7.0,3,0.25,2,29.69
0.98,514.5,294.0,110.25,7.0,4,0.25,2,30.18
0.98,514.5,294.0,110.25,7.0,5,0.25,2,30.02
0.9,563.5,318.5,122.5,7.0,2,0.25,2,35.56
0.9,563.5,318.5,122.5,7.0,3,0.25,2,32.64
0.9,563.5,318.5,122.5,7.0,4,0.25,2,32.77
0.9,563.5,318.5,122.5,7.0,5,0.25,2,37.72
0.86,588.0,294.0,147.0,7.0,2,0.25,2,33.37
0.86,588.0,294.0,147.0,7.0,3,0.25,2,27.89
0.86,588.0,294.0,147.0,7.0,4,0.25,2,29.9
0.86,588.0,294.0,147.0,7.0,5,0.25,2,34.52
0.82,612.5,318.5,147.0,7.0,2,0.25,2,28.27
0.82,612.5,318.5,147.0,7.0,3,0.25,2,26.96
0.82,612.5,318.5,147.0,7.0,4,0.25,2,26.72
0.82,612.5,318.5,147.0,7.0,5,0.25,2,29.88
0.79,637.0,343.0,147.0,7.0,2,0.25,2,43.86
0.79,637.0,343.0,147.0,7.0,3,0.25,2,37.41
0.79,637.0,343.0,147.0,7.0,4,0.25,2,36.77
0.79,637.0,343.0,147.0,7.0,5,0.25,2,45.97
0.76,661.5,416.5,122.5,7.0,2,0.25,2,36.87
0.76,661.5,416.5,122.5,7.0,3,0.25,2,37.35
0.76,661.5,416.5,122.5,7.0,4,0.25,2,37.28
0.76,661.5,416.5,122.5,7.0,5,0.25,2,36.81
0.74,686.0,245.0,220.5,3.5,2,0.25,2,14.73
0.74,686.0,245.0,220.5,3.5,3,0.25,2,15.1
0.74,686.0,245.0,220.5,3.5,4,0.25,2,15.18
0.74,686.0,245.0,220.5,3.5,5,0.25,2,15.44
0.71,710.5,269.5,220.5,3.5,2,0.25,2,14.91
0.71,710.5,269.5,220.5,3.5,3,0.25,2,15.4
0.71,710.5,269.5,220.5,3.5,4,0.25,2,14.94
0.71,710.5,269.5,220.5,3.5,5,0.25,2,15.32
0.69,735.0,294.0,220.5,3.5,2,0.25,2,15.52
0.69,735.0,294.0,220.5,3.5,3,0.25,2,15.85
0.69,735.0,294.0,220.5,3.5,4,0.25,2,15.66
0.69,735.0,294.0,220.5,3.5,5,0.25,2,15.99
0.66,759.5,318.5,220.5,3.5,2,0.25,2,15.89
0.66,759.5,318.5,220.5,3.5,3,0.25,2,15.85
0.66,759.5,318.5,220.5,3.5,4,0.25,2,16.22
0.66,759.5,318.5,220.5,3.5,5,0.25,2,15.87
0.64,784.0,343.0,220.5,3.5,2,0.25,2,20.47
0.64,784.0,343.0,220.5,3.5,3,0.25,2,20.56
0.64,784.0,343.0,220.5,3.5,4,0.25,2,20.48
0.64,784.0,343.0,220.5,3.5,5,0.25,2,20.43
0.62,808.5,367.5,220.5,3.5,2,0.25,2,15.32
0.62,808.5,367.5,220.5,3.5,3,0.25,2,15.64
0.62,808.5,367.5,220.5,3.5,4,0.25,2,15.14
0.62,808.5,367.5,220.5,3.5,5,0.25,2,15.3
0.98,514.5,294.0,110.25,7.0,2,0.25,3,29.43
0.98,514.5,294.0,110.25,7.0,3,0.25,3,29.78
0.98,514.5,294.0,110.25,7.0,4,0.25,3,30.1
0.98,514.5,294.0,110.25,7.0,5,0.25,3,30.19
0.9,563.5,318.5,122.5,7.0,2,0.25,3,36.35
0.9,563.5,318.5,122.5,7.0,3,0.25,3,35.1
0.9,563.5,318.5,122.5,7.0,4,0.25,3,32.83
0.9,563.5,318.5,122.5,7.0,5,0.25,3,32.46
0.86,588.0,294.0,147.0,7.0,2,0.25,3,33.52
0.86,588.0,294.0,147.0,7.0,3,0.25,3,32.93
0.86,588.0,294.0,147.0,7.0,4,0.25,3,28.38
0.86,588.0,294.0,147.0,7.0,5,0.25,3,29.82
0.82,612.5,318.5,147.0,7.0,2,0.25,3,28.77
0.82,612.5,318.5,147.0,7.0,3,0.25,3,27.76
0.82,612.5,318.5,147.0,7.0,4,0.25,3,26.95
0.82,612.5,318.5,147.0,7.0,5,0.25,3,26.41
0.79,637.0,343.0,147.0,7.0,2,0.25,3,45.13
0.79,637.0,343.0,147.0,7.0,3,0.25,3,43.66
0.79,637.0,343.0,147.0,7.0,4,0.25,3,37.76
0.79,637.0,343.0,147.0,7.0,5,0.25,3,36.87
0.76,661.5,416.5,122.5,7.0,2,0.25,3,36.07
0.76,661.5,416.5,122.5,7.0,3,0.25,3,36.44
0.76,661.5,416.5,122.5,7.0,4,0.25,3,37.28
0.76,661.5,416.5,122.5,7.0,5,0.25,3,37.29
0.74,686.0,245.0,220.5,3.5,2,0.25,3,14.49
0.74,686.0,245.0,220.5,3.5,3,0.25,3,13.79
0.74,686.0,245.0,220.5,3.5,4,0.25,3,14.72
0.74,686.0,245.0,220.5,3.5,5,0.25,3,14.76
0.71,710.5,269.5,220.5,3.5,2,0.25,3,14.92
0.71,710.5,269.5,220.5,3.5,3,0.25,3,14.74
0.71,710.5,269.5,220.5,3.5,4,0.25,3,15.57
0.71,710.5,269.5,220.5,3.5,5,0.25,3,14.94
0.69,735.0,294.0,220.5,3.5,2,0.25,3,14.92
0.69,735.0,294.0,220.5,3.5,3,0.25,3,14.38
0.69,735.0,294.0,220.5,3.5,4,0.25,3,15.44
0.69,735.0,294.0,220.5,3.5,5,0.25,3,15.17
0.66,759.5,318.5,220.5,3.5,2,0.25,3,15.53
0.66,759.5,318.5,220.5,3.5,3,0.25,3,15.8
0.66,759.5,318.5,220.5,3.5,4,0.25,3,16.14
0.66,759.5,318.5,220.5,3.5,5,0.25,3,16.26
0.64,784.0,343.0,220.5,3.5,2,0.25,3,19.87
0.64,784.0,343.0,220.5,3.5,3,0.25,3,20.03
0.64,784.0,343.0,220.5,3.5,4,0.25,3,20.46
0.64,784.0,343.0,220.5,3.5,5,0.25,3,20.28
0.62,808.5,367.5,220.5,3.5,2,0.25,3,14.89
0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.96
0.62,808.5,367.5,220.5,3.5,4,0.25,3,14.89
0.62,808.5,367.5,220.5,3.5,5,0.25,3,14.35
0.98,514.5,294.0,110.25,7.0,2,0.25,4,29.61
0.98,514.5,294.0,110.25,7.0,3,0.25,4,29.59
0.98,514.5,294.0,110.25,7.0,4,0.25,4,30.19
